sample_index,time_from_start_s,Right_Shoulder_Pitch_Joint,Right_Shoulder_Roll_Joint,Right_Shoulder_Yaw_Joint,Right_Elbow_Pitch_Joint,Right_Wrist_Yaw_Joint,Right_Wrist_Roll_Joint,Right_Wrist_Pitch_Joint
255,25.500000,0.696386397,-0.048171045,0.024296203,0.518010519,0.937241618,0.073385757,0.423466876
256,25.600000,0.696386397,-0.048009511,0.023968182,0.518055233,0.937241622,0.073458424,0.423474000
257,25.700000,0.696386397,-0.047847978,0.023640162,0.518099947,0.937241626,0.073531091,0.423481125
258,25.800000,0.696386397,-0.047686444,0.023312141,0.518144661,0.937241630,0.073603758,0.423488249
259,25.900000,0.696386397,-0.047524911,0.022984120,0.518189375,0.937241635,0.073676425,0.423495374
260,26.000000,0.696386397,-0.047363377,0.022656099,0.518234089,0.937241639,0.073749092,0.423502498
261,26.100000,0.696386397,-0.047201844,0.022328079,0.518278803,0.937241643,0.073821759,0.423509623
262,26.200000,0.696386397,-0.047040310,0.022000058,0.518323517,0.937241647,0.073894426,0.423516747
263,26.300000,0.696386397,-0.046878777,0.021672037,0.518368232,0.937241651,0.073967093,0.423523871
264,26.400000,0.696386397,-0.046717243,0.021344016,0.518412946,0.937241656,0.074039760,0.423530996
265,26.500000,0.696386397,-0.046555710,0.021015995,0.518457660,0.937241660,0.074112427,0.423538120
